IncidentNumber,Latitude,Longitude,ApproximateVolumeM3,ReportedDate,ReportedYear,IncidentType_EN_LIST,IncidentStatus_EN,CompanyName_EN,NearestPopulationCenter_EN,ProvinceName_EN,SubstanceName_EN,ReleaseType_EN,PipelinePhase_EN,WerePipelineSystemComponentsInvolved,PipelineComponent_EN_LIST,WhatHappened_EN_LIST,WhyItHappened_EN_LIST
INC2017-189,55.78756,-120.53231,1.0000,2017-11-23T00:00:00,2017,Release of Substance,Initially Submitted,NOVA Gas Transmission Ltd.,Dawson Creek,British Columbia,Natural Gas - Sweet,Gas,Operation,No,Not Available,To be determined,To be determined
INC2017-188,54.52823203,-118.15941793,1.0000,2017-11-23T00:00:00,2017,Release of Substance,Submitted,Alliance Pipeline Ltd.,Grande Prairie,Alberta,Natural Gas - Sweet,Gas,Operation,Yes,Metering,Equipment Failure,Maintenance
INC2017-187,56.4692572,-120.73757187,Not Applicable,2017-11-21T00:00:00,2017,Operation Beyond Design Limits,Initially Submitted,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Fort St. John,British Columbia,Not applicable,Not applicable,Operation,No,Not Available,To be determined,To be determined
INC2017-186,54.67502,-111.99002,0.1000,2017-11-20T00:00:00,2017,Release of Substance,Initially Submitted,NOVA Gas Transmission Ltd.,Lac La Biche,Alberta,Natural Gas - Sweet,Gas,Operation,No,Not Available,To be determined,To be determined
INC2017-185,49.95917767,-120.91602779,3500.0000,2017-11-19T00:00:00,2017,Release of Substance,Initially Submitted,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Merritt,British Columbia,Natural Gas - Sweet,Gas,Operation,No,Not Available,To be determined,To be determined
INC2017-184,53.50812123,-122.60789532,15.0000,2017-11-19T00:00:00,2017,Release of Substance,Initially Submitted,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Hixon,Alberta,Natural Gas - Sweet,Gas,Maintenance,No,Not Available,To be determined,To be determined
INC2017-183,49.95917767,-120.91602779,4000.0000,2017-11-08T00:00:00,2017,Release of Substance,Submitted,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Merritt,British Columbia,Natural Gas - Sweet,Gas,Maintenance,Yes,Compression,Incorrect Operation,Human Factors
INC2017-181,50.38574,-104.32163,0.0010,2017-11-07T00:00:00,2017,Release of Substance,Initially Submitted,Plains Midstream Canada ULC,White City,Saskatchewan,Propane,Gas,Maintenance,No,Not Available,Corrosion and Cracking,To be determined
INC2017-180,53.724204,-116.831116,Not Applicable,2017-11-04T00:00:00,2017,Fire,Submitted,NOVA Gas Transmission Ltd.,Edson,Alberta,Not applicable,Not applicable,Construction,No,Not Available,"External Interference,Incorrect Operation","Failure in communication,Human Factors,Inadequate Supervision"
INC2017-179,42.28084312,-83.07932714,Not Applicable,2017-11-04T00:00:00,2017,Fire,Initially Submitted,Plains Midstream Canada ULC,Windsor,Ontario,Not applicable,Not applicable,Operation,No,Not Available,To be determined,To be determined
INC2017-178,55.79811041,-122.18163686,1.3600,2017-11-03T00:00:00,2017,Release of Substance,Initially Submitted,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Dawson Creek ,British Columbia,Natural Gas - Sweet,Gas,Operation,No,Not Available,To be determined,To be determined
INC2017-177,50.07364,-104.00057,0.1000,2017-11-02T00:00:00,2017,Release of Substance,Initially Submitted,TransCanada PipeLines Limited,Rapid City,Saskatchewan,Natural Gas - Sweet,Gas,Maintenance,No,Not Available,To be determined,To be determined
INC2017-176,56.14630285,-120.66916931,1.0000,2017-11-02T00:00:00,2017,Release of Substance,Initially Submitted,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Taylor,British Columbia,Natural Gas - Sour,Gas,Operation,No,Not Available,External Interference,Natural or Environmental Forces
INC2017-175,43,-104.323019,0.0010,2017-10-29T00:00:00,2017,Release of Substance,Initially Submitted,Plains Midstream Canada ULC,Regina,Saskatchewan,Propane,Gas,Maintenance,No,Not Available,To be determined,To be determined
INC2017-174,55.81403847,-120.86941188,4473.3700,2017-10-27T00:00:00,2017,Release of Substance,Submitted,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Dawson Creek ,British Columbia,Natural Gas - Sweet,Gas,Operation,Yes,Compression,"External Interference,Incorrect Operation",Tools and Equipment
INC2017-173,56.14630285,-120.66916931,2.0000,2017-10-26T00:00:00,2017,Release of Substance,Submitted,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Taylor,British Columbia,Propane,Gas,Operation,Yes,Processing Plant,Incorrect Operation,"Human Factors,Standards and Procedures"
INC2017-172,51.348868,-106.967462,Not Applicable,2017-10-25T00:00:00,2017,Serious Injury (CER or TSB),Submitted,Enbridge Pipelines Inc.,Outlook,Saskatchewan,Not applicable,Not applicable,Construction,No,Not Available,"External Interference,Incorrect Operation","Failure in communication,Human Factors,Inadequate Supervision"
INC2017-171,50.79194,-111.85074,Not Applicable,2017-10-23T00:00:00,2017,Serious Injury (CER or TSB),Initially Submitted,NOVA Gas Transmission Ltd.,Brooks,Alberta,Not applicable,Not applicable,Maintenance,No,Not Available,To be determined,To be determined
INC2017-170,53.83523,-111.33383,50.0000,2017-10-23T00:00:00,2017,Release of Substance,Initially Submitted,NOVA Gas Transmission Ltd.,St. Paul,Alberta,Natural Gas - Sweet,Gas,Maintenance,No,Not Available,To be determined,To be determined
INC2017-169,54.63,-118.95,10.0000,2017-10-20T00:00:00,2017,Release of Substance,Initially Submitted,NOVA Gas Transmission Ltd.,Grovedale,Alberta,Natural Gas - Sweet,Gas,Operation,No,Not Available,To be determined,To be determined
INC2017-168,55.56909171,-121.94466164,Not Applicable,2017-10-20T00:00:00,2017,Fire,Submitted,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Hasler,British Columbia,Not applicable,Not applicable,Maintenance,Yes,Processing Plant,External Interference,Standards and Procedures
INC2017-167,53.10047466,-115.36423859,0.0010,2017-10-13T00:00:00,2017,Release of Substance,Initially Submitted,NOVA Gas Transmission Ltd.,Drayton Valley,Alberta,Natural Gas - Sweet,Gas,Construction,No,Not Available,To be determined,To be determined
INC2017-166,58.6547225,-122.68577966,16.3000,2017-10-12T00:00:00,2017,Release of Substance,Submitted,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Fort Nelson,British Columbia,Glycol,Miscellaneous,Maintenance,No,Not Available,Corrosion and Cracking,Maintenance
INC2017-165,49,-121,15570.0000,2017-10-11T00:00:00,2017,Release of Substance,Submitted,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Chillawack,British Columbia,Natural Gas - Sweet,Gas,Maintenance,Yes,Pipeline,Incorrect Operation,"Standards and Procedures,Tools and Equipment"
INC2017-163,58.65324554,-122.68482307,Not Applicable,2017-10-03T00:00:00,2017,Fire,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Fort Nelson,British Columbia,Not applicable,Not applicable,Maintenance,No,Not Available,External Interference,Natural or Environmental Forces
INC2017-162,56.78078388,-122.32382739,13399.5900,2017-10-01T00:00:00,2017,Release of Substance,Submitted,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Farmington BC,British Columbia,Natural Gas - Sweet,Gas,Operation,No,Not Available,Incorrect Operation,Tools and Equipment
INC2017-161,51.875,-109.033,0.0100,2017-09-29T00:00:00,2017,Release of Substance,Submitted,Enbridge Pipelines Inc.,Kerrobert,Saskatchewan,Natural Gas Liquids,Gas,Operation,Yes,Pipeline,External Interference,Maintenance
INC2017-160,44.145312,-77.582033,Not Applicable,2017-09-27T00:00:00,2017,Operation Beyond Design Limits,Initially Submitted,Trans-Northern Pipelines Inc.,Trenton,Ontario,Not applicable,Not applicable,Operation,No,Not Available,To be determined,To be determined
INC2017-158,44.6430712,-75.61878451,Not Applicable,2017-09-25T00:00:00,2017,Operation Beyond Design Limits,Initially Submitted,Trans-Northern Pipelines Inc.,"Maitland, Ontario",Ontario,Not applicable,Not applicable,Operation,No,Not Available,To be determined,To be determined
INC2017-157,44.9970876,-75.0124647,Not Applicable,2017-09-25T00:00:00,2017,Operation Beyond Design Limits,Initially Submitted,Trans-Northern Pipelines Inc.,"Ingleside, Ontario",Ontario,Not applicable,Not applicable,Operation,No,Not Available,To be determined,To be determined
INC2017-156,50.71,-112.09,Not Applicable,2017-09-25T00:00:00,2017,Operation Beyond Design Limits,Closed,NOVA Gas Transmission Ltd.,"Rosemary, AB",Alberta,Not applicable,Not applicable,Operation,Yes,"Compression,Pipeline",Incorrect Operation,Tools and Equipment
INC2017-155,55.79811041,-122.18163686,10.0000,2017-09-24T00:00:00,2017,Release of Substance,Submitted,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Chetwynd,British Columbia,Drilling Fluid,Miscellaneous,Construction,No,Not Available,Defect and Deterioration,Maintenance
INC2017-154,54.28836951,-122.61663727,125.4000,2017-09-24T00:00:00,2017,Release of Substance,Submitted,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Prince George,British Columbia,Natural Gas - Sweet,Gas,Operation,Yes,Compression,Equipment Failure,"Engineering and Planning,Maintenance"
INC2017-153,51.867982,-109.033349,0.0020,2017-09-22T00:00:00,2017,Release of Substance,Closed,Enbridge Pipelines Inc.,Kerrobert,Saskatchewan,Natural Gas Liquids,Gas,Operation,Yes,Pipeline,Incorrect Operation,Human Factors
INC2017-151,43.506022,-79.615112,Not Applicable,2017-09-22T00:00:00,2017,Operation Beyond Design Limits,Initially Submitted,Trans-Northern Pipelines Inc.,Clarkson,Ontario,Not applicable,Not applicable,Operation,No,Not Available,To be determined,To be determined
INC2017-150,45.62532117,-73.53774278,Not Applicable,2017-09-22T00:00:00,2017,Operation Beyond Design Limits,Initially Submitted,Trans-Northern Pipelines Inc.,Montreal East,Quebec,Not applicable,Not applicable,Operation,No,Not Available,To be determined,To be determined
INC2017-149,45.62532117,-73.53774278,Not Applicable,2017-09-22T00:00:00,2017,Operation Beyond Design Limits,Initially Submitted,Trans-Northern Pipelines Inc.,Montreal East,Quebec,Not applicable,Not applicable,Operation,No,Not Available,To be determined,To be determined
INC2017-148,44.217868,-77.197155,Not Applicable,2017-09-21T00:00:00,2017,Operation Beyond Design Limits,Initially Submitted,Trans-Northern Pipelines Inc.,Milltown,Ontario,Not applicable,Not applicable,Operation,No,Not Available,To be determined,To be determined
INC2017-147,56.14630285,-120.66916931,Not Applicable,2017-09-19T00:00:00,2017,Operation Beyond Design Limits,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Taylor,British Columbia,Not applicable,Not applicable,Operation,Yes,Pipeline,External Interference,Standards and Procedures
INC2017-146,51.550986,-121.269628,Not Applicable,2017-09-19T00:00:00,2017,Serious Injury (CER or TSB),Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",100 Mile House,British Columbia,Not applicable,Not applicable,Construction,No,Not Available,Incorrect Operation,Human Factors
INC2017-145,55.956023,-120.672487,Not Applicable,2017-09-16T00:00:00,2017,Fire,Closed,NOVA Gas Transmission Ltd.,"Dawson Creek, British Columbia",British Columbia,Not applicable,Not applicable,Construction,No,Not Available,"External Interference,Incorrect Operation,Other Causes",Tools and Equipment
INC2017-144,43.865025,-79.378924,Not Applicable,2017-09-12T00:00:00,2017,Operation Beyond Design Limits,Closed,Trans-Northern Pipelines Inc.,Multiple locations in Ontario,Ontario,Not applicable,Not applicable,Operation,Yes,Pipeline,"External Interference,Incorrect Operation",Failure in communication
INC2017-143,43.394589,-79.744588,Not Applicable,2017-09-12T00:00:00,2017,Operation Beyond Design Limits,Closed,Trans-Northern Pipelines Inc.,"Oakville, Ontario",Ontario,Not applicable,Not applicable,Operation,Yes,Pipeline,External Interference,Tools and Equipment
INC2017-142,50.23066354,-101.67623503,Not Applicable,2017-09-12T00:00:00,2017,Fire,Closed,TransCanada PipeLines Limited,"Moosomin, Saskatchewan ",Saskatchewan,Not applicable,Not applicable,Construction,No,Not Available,"External Interference,Incorrect Operation","Maintenance,Tools and Equipment"
INC2017-141,43.94553832,-78.66202139,Not Applicable,2017-09-12T00:00:00,2017,Operation Beyond Design Limits,Closed,Trans-Northern Pipelines Inc.,"Bowmanville, Ontario",Ontario,Not applicable,Not applicable,Operation,Yes,Pipeline,"External Interference,Incorrect Operation",Engineering and Planning
INC2017-140,44.9970876,-75.0124647,Not Applicable,2017-09-12T00:00:00,2017,Operation Beyond Design Limits,Closed,Trans-Northern Pipelines Inc.,"Ingleside, Ontario",Ontario,Not applicable,Not applicable,Operation,Yes,Pipeline,"External Interference,Incorrect Operation","Engineering and Planning,Human Factors"
INC2017-139,43.76842553,-79.48533571,Not Applicable,2017-09-12T00:00:00,2017,Operation Beyond Design Limits,Closed,Trans-Northern Pipelines Inc.,Hamilton and Toronto,Ontario,Not applicable,Not applicable,Operation,Yes,Pipeline,Incorrect Operation,Engineering and Planning
INC2017-138,43.76842553,-79.48533571,Not Applicable,2017-09-12T00:00:00,2017,Operation Beyond Design Limits,Closed,Trans-Northern Pipelines Inc.,Toronto,Ontario,Not applicable,Not applicable,Operation,Yes,Pipeline,"External Interference,Incorrect Operation",Engineering and Planning
INC2017-137,56.22,-122.08,350347.0000,2017-09-11T00:00:00,2017,Release of Substance,Submitted,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Hudson's Hope BC,British Columbia,Natural Gas - Sweet,Gas,Operation,Yes,Compression,"External Interference,Incorrect Operation","Human Factors,Maintenance,Standards and Procedures"
INC2017-136,50.48066052,-105.86703804,Not Applicable,2017-09-09T00:00:00,2017,Fire,Closed,TransCanada PipeLines Limited,"Rapid City,  MB",Manitoba,Not applicable,Not applicable,Construction,No,Not Available,External Interference,Tools and Equipment
INC2017-135,45.630971,-73.531765,Not Applicable,2017-09-07T00:00:00,2017,Operation Beyond Design Limits,Closed,Trans-Northern Pipelines Inc.,Montreal East,Quebec,Not applicable,Not applicable,Operation,Yes,Pipeline,External Interference,"Engineering and Planning,Human Factors"
INC2017-134,45.451382,-74.059042,Not Applicable,2017-09-07T00:00:00,2017,Operation Beyond Design Limits,Initially Submitted,Trans-Northern Pipelines Inc.,Hudson,Quebec,Not applicable,Not applicable,Operation,No,Not Available,To be determined,To be determined
INC2017-133,45.62254,-73.6561,Not Applicable,2017-09-07T00:00:00,2017,Operation Beyond Design Limits,Submitted,Trans-Northern Pipelines Inc.,Laval,Quebec,Not applicable,Not applicable,Operation,Yes,Pipeline,Natural Force Damage,"Engineering and Planning,Maintenance,Natural or Environmental Forces"
INC2017-132,56.73,-121.81,Not Applicable,2017-09-05T00:00:00,2017,Operation Beyond Design Limits,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Wonowan,British Columbia,Not applicable,Not applicable,Maintenance,Yes,Pressure regulating,Incorrect Operation,Failure in communication
INC2017-131,56.727,-122.273,Not Applicable,2017-09-03T00:00:00,2017,Serious Injury (CER or TSB),Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Pink Mountain,British Columbia,Not applicable,Not applicable,Construction,No,Not Available,Incorrect Operation,"Human Factors,Inadequate Procurement,Inadequate Supervision,Tools and Equipment"
INC2017-130,50.23066354,-101.67623503,Not Applicable,2017-09-01T00:00:00,2017,Fire,Closed,TransCanada PipeLines Limited,"Moosomin, SK",Saskatchewan,Not applicable,Not applicable,Construction,No,Not Available,"External Interference,Incorrect Operation",Human Factors
INC2017-129,45.630971,-73.531765,Not Applicable,2017-08-31T00:00:00,2017,Operation Beyond Design Limits,Closed,Trans-Northern Pipelines Inc.,Montreal East,Quebec,Not applicable,Not applicable,Operation,No,Not Available,External Interference,"Engineering and Planning,Failure in communication,Human Factors"
INC2017-128,45.630971,-73.531765,Not Applicable,2017-08-31T00:00:00,2017,Operation Beyond Design Limits,Closed,Trans-Northern Pipelines Inc.,Montreal East,Quebec,Not applicable,Not applicable,Operation,No,Not Available,External Interference,"Engineering and Planning,Failure in communication,Human Factors"
INC2017-127,45.630971,-73.531765,Not Applicable,2017-08-31T00:00:00,2017,Operation Beyond Design Limits,Closed,Trans-Northern Pipelines Inc.,Montreal East,Quebec,Not applicable,Not applicable,Operation,No,Not Available,External Interference,"Engineering and Planning,Failure in communication,Human Factors"
INC2017-126,45.630971,-73.531765,Not Applicable,2017-08-31T00:00:00,2017,Operation Beyond Design Limits,Submitted,Trans-Northern Pipelines Inc.,Montreal East,Quebec,Not applicable,Not applicable,Operation,No,Not Available,External Interference,Engineering and Planning
INC2017-125,45.630971,-73.531765,Not Applicable,2017-08-31T00:00:00,2017,Operation Beyond Design Limits,Submitted,Trans-Northern Pipelines Inc.,Montreal East,Quebec,Not applicable,Not applicable,Operation,No,Not Available,External Interference,Engineering and Planning
INC2017-124,45.630971,-73.531765,Not Applicable,2017-08-31T00:00:00,2017,Operation Beyond Design Limits,Submitted,Trans-Northern Pipelines Inc.,Montreal East,Quebec,Not applicable,Not applicable,Operation,No,Not Available,External Interference,Engineering and Planning
INC2017-123,45.630971,-73.531765,Not Applicable,2017-08-31T00:00:00,2017,Operation Beyond Design Limits,Submitted,Trans-Northern Pipelines Inc.,Montreal East,Quebec,Not applicable,Not applicable,Operation,Yes,Pipeline,External Interference,Engineering and Planning
INC2017-122,45.630971,-73.531765,Not Applicable,2017-08-31T00:00:00,2017,Operation Beyond Design Limits,Submitted,Trans-Northern Pipelines Inc.,Montreal East,Quebec,Not applicable,Not applicable,Operation,Yes,Pipeline,External Interference,Engineering and Planning
INC2017-121,45.630971,-73.531765,Not Applicable,2017-08-31T00:00:00,2017,Operation Beyond Design Limits,Submitted,Trans-Northern Pipelines Inc.,Montreal East,Quebec,Not applicable,Not applicable,Operation,Yes,Pipeline,External Interference,Engineering and Planning
INC2017-120,45.630971,-73.531765,Not Applicable,2017-08-31T00:00:00,2017,Operation Beyond Design Limits,Submitted,Trans-Northern Pipelines Inc.,Montreal East,Quebec,Not applicable,Not applicable,Operation,Yes,Pipeline,External Interference,Engineering and Planning
INC2017-117,56.1695,-120.6575,Not Applicable,2017-08-16T00:00:00,2017,Fire,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Taylor,British Columbia,Not applicable,Not applicable,Construction,No,Not Available,External Interference,Natural or Environmental Forces
INC2017-116,55.749071,-122.2058,Not Applicable,2017-08-15T00:00:00,2017,Serious Injury (CER or TSB),Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Chetwynd,British Columbia,Not applicable,Not applicable,Construction,No,Not Available,Incorrect Operation,"Human Factors,Inadequate Supervision"
INC2017-115,50.71329,-112.09327,1.0000,2017-08-11T00:00:00,2017,Release of Substance,Initially Submitted,NOVA Gas Transmission Ltd.,"Rosemary, AB",Alberta,Natural Gas - Sweet,Gas,Operation,No,Not Available,To be determined,To be determined
INC2017-114,54.057238,-113.219046,1.0000,2017-08-10T00:00:00,2017,Release of Substance,Initially Submitted,NOVA Gas Transmission Ltd.,Redwater,Alberta,Natural Gas - Sweet,Gas,Operation,No,Not Available,To be determined,To be determined
INC2017-111,45.235319,-75.534506,Not Applicable,2017-07-31T00:00:00,2017,Operation Beyond Design Limits,Submitted,Trans-Northern Pipelines Inc.,"Ficko, Ontario",Ontario,Not applicable,Not applicable,Operation,Yes,Pipeline,Natural Force Damage,"Engineering and Planning,Maintenance"
INC2017-110,50.62028,-105.24194,0.0010,2017-07-27T00:00:00,2017,Release of Substance,Closed,Enbridge Pipelines Inc.,Town of Bethune,Saskatchewan,Natural Gas Liquids,Gas,Operation,Yes,Pumping,External Interference,Maintenance
INC2017-105,56.14630285,-120.66916931,11.0000,2017-07-25T00:00:00,2017,Release of Substance,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission","Taylor, BC",British Columbia,Butane,Gas,Operation,Yes,Processing Plant,External Interference,Engineering and Planning
INC2017-104,48.598185,-88.807598,Not Applicable,2017-07-21T00:00:00,2017,Fire,Closed,TransCanada PipeLines Limited,"Dorion, Ontario",Ontario,Not applicable,Not applicable,Maintenance,No,Not Available,External Interference,Maintenance
INC2017-103,50.07617,-99.9867,58.7000,2017-07-20T00:00:00,2017,Release of Substance,Closed,TransCanada PipeLines Limited,"Rapid City, Manitoba",Manitoba,Natural Gas - Sweet,Gas,Operation,Yes,Compression,Corrosion and Cracking,Maintenance
INC2017-102,53.544231,-113.349269,12.8000,2017-07-18T00:00:00,2017,Release of Substance,Closed,Enbridge Pipelines Inc.,"Sherwood Park, AB",Alberta,Crude Oil - Synthetic,Liquid,Operation,Yes,Pipeline,Corrosion and Cracking,Engineering and Planning
INC2017-101,56.14630285,-120.66916931,300.0000,2017-07-14T00:00:00,2017,Release of Substance,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Taylor,British Columbia,Natural Gas - Sour,Gas,Operation,Yes,Processing Plant,Equipment Failure,"Engineering and Planning,Failure in communication,Inadequate Procurement"
INC2017-100,50.697092,-111.489744,Not Applicable,2017-07-14T00:00:00,2017,Fire,Closed,NOVA Gas Transmission Ltd.,"Patricia, AB",Alberta,Not applicable,Not applicable,Operation,No,Not Available,External Interference,Natural or Environmental Forces
INC2017-099,44.554447,-75.798016,Not Applicable,2017-07-12T00:00:00,2017,Operation Beyond Design Limits,Submitted,Trans-Northern Pipelines Inc.,Brockville,Ontario,Not applicable,Not applicable,Operation,No,Not Available,Natural Force Damage,"Engineering and Planning,Maintenance"
INC2017-098,44.236964,-76.84911,Not Applicable,2017-07-12T00:00:00,2017,Operation Beyond Design Limits,Submitted,Trans-Northern Pipelines Inc.,Napanee,Ontario,Not applicable,Not applicable,Operation,No,Not Available,Natural Force Damage,"Engineering and Planning,Maintenance"
INC2017-097,49.30721239,-114.01499449,Not Applicable,2017-07-12T00:00:00,2017,Operation Beyond Design Limits,Closed,NOVA Gas Transmission Ltd.,"Twin Butte, AB",Alberta,Not applicable,Not applicable,Operation,Yes,Compression,Other Causes,Tools and Equipment
INC2017-096,44.371,-76.203,Not Applicable,2017-07-11T00:00:00,2017,Operation Beyond Design Limits,Initially Submitted,Trans-Northern Pipelines Inc.,Gananoque,Ontario,Not applicable,Not applicable,Operation,No,Not Available,Natural Force Damage,"Engineering and Planning,Maintenance"
INC2017-095,55.89250404,-119.79138263,Not Applicable,2017-07-10T00:00:00,2017,Operation Beyond Design Limits,Closed,NOVA Gas Transmission Ltd.,"Bonanza, Alberta",Alberta,Not applicable,Not applicable,Operation,No,Not Available,External Interference,Engineering and Planning
INC2017-094,51.4,-111.79,Not Applicable,2017-07-10T00:00:00,2017,Operation Beyond Design Limits,Initially Submitted,NOVA Gas Transmission Ltd.,"Hanna, Alberta",Alberta,Not applicable,Not applicable,Operation,No,Not Available,To be determined,To be determined
INC2017-093,49.32403226,-102.29636323,1.0000,2017-07-06T00:00:00,2017,Release of Substance,Closed,Alliance Pipeline Ltd.,"Morinville, Alberta",Alberta,Natural Gas - Sweet,Gas,Operation,Yes,Compression,Equipment Failure,Maintenance
INC2017-091,54.04370807,-117.42054229,2.0000,2017-06-28T00:00:00,2017,Release of Substance,Closed,NOVA Gas Transmission Ltd.,"Fox Creek, AB",Alberta,Natural Gas - Sweet,Gas,Operation,Yes,Compression,Corrosion and Cracking,Tools and Equipment
INC2017-090,44.99186,-75.012816,Not Applicable,2017-06-26T00:00:00,2017,Operation Beyond Design Limits,Closed,Trans-Northern Pipelines Inc.,n/a,Ontario,Not applicable,Not applicable,Operation,Yes,Pipeline,External Interference,Engineering and Planning
INC2017-089,44.22481905,-77.0524542,Not Applicable,2017-06-26T00:00:00,2017,Operation Beyond Design Limits,Submitted,Trans-Northern Pipelines Inc.,Napanee,Ontario,Not applicable,Not applicable,Operation,No,Not Available,Natural Force Damage,"Engineering and Planning,Maintenance"
INC2017-088,43.963574,-78.511896,Not Applicable,2017-06-25T00:00:00,2017,Operation Beyond Design Limits,Submitted,Trans-Northern Pipelines Inc.,Newtonville,Ontario,Not applicable,Not applicable,Operation,No,Not Available,Natural Force Damage,"Engineering and Planning,Maintenance"
INC2017-087,43.94553832,-78.66202139,Not Applicable,2017-06-25T00:00:00,2017,Operation Beyond Design Limits,Submitted,Trans-Northern Pipelines Inc.,Newcastle,Ontario,Not applicable,Not applicable,Operation,No,Not Available,Natural Force Damage,"Engineering and Planning,Maintenance"
INC2017-086,43.94553832,-78.66202139,Not Applicable,2017-06-25T00:00:00,2017,Operation Beyond Design Limits,Submitted,Trans-Northern Pipelines Inc.,Pickering,Ontario,Not applicable,Not applicable,Operation,No,Not Available,Natural Force Damage,"Engineering and Planning,Maintenance"
INC2017-085,43.9148,-79.04039,Not Applicable,2017-06-25T00:00:00,2017,Operation Beyond Design Limits,Submitted,Trans-Northern Pipelines Inc.,Whitby,Ontario,Not applicable,Not applicable,Operation,Yes,Pipeline,Natural Force Damage,"Engineering and Planning,Maintenance,Natural or Environmental Forces"
