Incidents,Latitude,Longitude,Volume approx. rejeté,Date/année du signalement,Type d’incident,État,Société,Centre de population le plus près,Provinces,Substance, Type de rejet,Étape du cycle de vie,Des composantes du réseau ont-elles été en cause?,Composantes en cause,Ce qui s’est passé,Causes
INC2017-187,56.4692572,-120.73757187,Sans objet,2017-11-21T00:00:00,Exploitation au-delà des tolérances de fabrication,Initialement Soumis,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Fort St. John,Colombie-Britannique,N'est pas applicable,N'est pas applicable,Exploitation,No,Non disponible,À déterminer,À déterminer
INC2017-186,54.67502,-111.99002,0.1000,2017-11-20T00:00:00,Déversement de substance,Initialement Soumis,NOVA Gas Transmission Ltd.,Lac La Biche,Alberta,Gaz Naturel - non sulfureux,Gaz,Exploitation,No,Non disponible,À déterminer,À déterminer
INC2017-185,49.95917767,-120.91602779,3500.0000,2017-11-19T00:00:00,Déversement de substance,Initialement Soumis,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Merritt,Colombie-Britannique,Gaz Naturel - non sulfureux,Gaz,Exploitation,No,Non disponible,À déterminer,À déterminer
INC2017-184,53.50812123,-122.60789532,15.0000,2017-11-19T00:00:00,Déversement de substance,Initialement Soumis,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Hixon,Alberta,Gaz Naturel - non sulfureux,Gaz,Entretien,No,Non disponible,À déterminer,À déterminer
INC2017-183,49.95917767,-120.91602779,4000.0000,2017-11-08T00:00:00,Déversement de substance,Soumis,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Merritt,Colombie-Britannique,Gaz Naturel - non sulfureux,Gaz,Entretien,Yes,Compression,Erreur d’exploitation,Facteurs humains
INC2017-181,50.38574,-104.32163,0.0010,2017-11-07T00:00:00,Déversement de substance,Initialement Soumis,Plains Midstream Canada ULC,White City,Saskatchewan,Propane,Gaz,Entretien,No,Non disponible,Corrosion et fissuration,À déterminer
INC2017-180,53.724204,-116.831116,Sans objet,2017-11-04T00:00:00,Incendie,Soumis,NOVA Gas Transmission Ltd.,Edson,Alberta,N'est pas applicable,N'est pas applicable,Construction,No,Non disponible,"Interférences extérieures,Erreur d’exploitation","Problème de communication,Facteurs humains,Supervision insuffisante"
INC2017-179,42.28084312,-83.07932714,Sans objet,2017-11-04T00:00:00,Incendie,Initialement Soumis,Plains Midstream Canada ULC,Windsor,Ontario,N'est pas applicable,N'est pas applicable,Exploitation,No,Non disponible,À déterminer,À déterminer
INC2017-178,55.79811041,-122.18163686,1.3600,2017-11-03T00:00:00,Déversement de substance,Initialement Soumis,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Dawson Creek ,Colombie-Britannique,Gaz Naturel - non sulfureux,Gaz,Exploitation,No,Non disponible,À déterminer,À déterminer
INC2017-177,50.07364,-104.00057,0.1000,2017-11-02T00:00:00,Déversement de substance,Initialement Soumis,TransCanada PipeLines Limited,Rapid City,Saskatchewan,Gaz Naturel - non sulfureux,Gaz,Entretien,No,Non disponible,À déterminer,À déterminer
INC2017-176,56.14630285,-120.66916931,1.0000,2017-11-02T00:00:00,Déversement de substance,Initialement Soumis,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Taylor,Colombie-Britannique,Gaz naturel - sulfureux,Gaz,Exploitation,No,Non disponible,Interférences extérieures,Forces de la nature ou environnement
INC2017-175,43,-104.323019,0.0010,2017-10-29T00:00:00,Déversement de substance,Initialement Soumis,Plains Midstream Canada ULC,Regina,Saskatchewan,Propane,Gaz,Entretien,No,Non disponible,À déterminer,À déterminer
INC2017-174,55.81403847,-120.86941188,4473.3700,2017-10-27T00:00:00,Déversement de substance,Soumis,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Dawson Creek ,Colombie-Britannique,Gaz Naturel - non sulfureux,Gaz,Exploitation,Yes,Compression,"Interférences extérieures,Erreur d’exploitation",Outils et équipement
INC2017-173,56.14630285,-120.66916931,2.0000,2017-10-26T00:00:00,Déversement de substance,Soumis,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Taylor,Colombie-Britannique,Propane,Gaz,Exploitation,Yes,Usine de traitement,Erreur d’exploitation,"Facteurs humains,Normes et procédures"
INC2017-172,51.348868,-106.967462,Sans objet,2017-10-25T00:00:00,Blessure grave (Office ou BST),Soumis,Enbridge Pipelines Inc.,Outlook,Saskatchewan,N'est pas applicable,N'est pas applicable,Construction,No,Non disponible,"Interférences extérieures,Erreur d’exploitation","Problème de communication,Facteurs humains,Supervision insuffisante"
INC2017-171,50.79194,-111.85074,Sans objet,2017-10-23T00:00:00,Blessure grave (Office ou BST),Initialement Soumis,NOVA Gas Transmission Ltd.,Brooks,Alberta,N'est pas applicable,N'est pas applicable,Entretien,No,Non disponible,À déterminer,À déterminer
INC2017-170,53.83523,-111.33383,50.0000,2017-10-23T00:00:00,Déversement de substance,Initialement Soumis,NOVA Gas Transmission Ltd.,St. Paul,Alberta,Gaz Naturel - non sulfureux,Gaz,Entretien,No,Non disponible,À déterminer,À déterminer
INC2017-169,54.63,-118.95,10.0000,2017-10-20T00:00:00,Déversement de substance,Initialement Soumis,NOVA Gas Transmission Ltd.,Grovedale,Alberta,Gaz Naturel - non sulfureux,Gaz,Exploitation,No,Non disponible,À déterminer,À déterminer
INC2017-168,55.56909171,-121.94466164,Sans objet,2017-10-20T00:00:00,Incendie,Soumis,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Hasler,Colombie-Britannique,N'est pas applicable,N'est pas applicable,Entretien,Yes,Usine de traitement,Interférences extérieures,Normes et procédures
INC2017-167,53.10047466,-115.36423859,0.0010,2017-10-13T00:00:00,Déversement de substance,Initialement Soumis,NOVA Gas Transmission Ltd.,Drayton Valley,Alberta,Gaz Naturel - non sulfureux,Gaz,Construction,No,Non disponible,À déterminer,À déterminer
INC2017-166,58.6547225,-122.68577966,16.3000,2017-10-12T00:00:00,Déversement de substance,Soumis,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Fort Nelson,Colombie-Britannique,Glycol,Divers,Entretien,No,Non disponible,Corrosion et fissuration,Entretien
INC2017-165,49,-121,15570.0000,2017-10-11T00:00:00,Déversement de substance,Soumis,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Chillawack,Colombie-Britannique,Gaz Naturel - non sulfureux,Gaz,Entretien,Yes,Pipeline,Erreur d’exploitation,"Normes et procédures,Outils et équipement"
INC2017-163,58.65324554,-122.68482307,Sans objet,2017-10-03T00:00:00,Incendie,Fermé,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Fort Nelson,Colombie-Britannique,N'est pas applicable,N'est pas applicable,Entretien,No,Non disponible,Interférences extérieures,Forces de la nature ou environnement
INC2017-162,56.78078388,-122.32382739,13399.5900,2017-10-01T00:00:00,Déversement de substance,Soumis,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Farmington BC,Colombie-Britannique,Gaz Naturel - non sulfureux,Gaz,Exploitation,No,Non disponible,Erreur d’exploitation,Outils et équipement
INC2017-161,51.875,-109.033,0.0100,2017-09-29T00:00:00,Déversement de substance,Soumis,Enbridge Pipelines Inc.,Kerrobert,Saskatchewan,Liquides de gaz naturel,Gaz,Exploitation,Yes,Pipeline,Interférences extérieures,Entretien
INC2017-160,44.145312,-77.582033,Sans objet,2017-09-27T00:00:00,Exploitation au-delà des tolérances de fabrication,Initialement Soumis,Trans-Northern Pipelines Inc.,Trenton,Ontario,N'est pas applicable,N'est pas applicable,Exploitation,No,Non disponible,À déterminer,À déterminer
INC2017-158,44.6430712,-75.61878451,Sans objet,2017-09-25T00:00:00,Exploitation au-delà des tolérances de fabrication,Initialement Soumis,Trans-Northern Pipelines Inc.,"Maitland, Ontario",Ontario,N'est pas applicable,N'est pas applicable,Exploitation,No,Non disponible,À déterminer,À déterminer
INC2017-157,44.9970876,-75.0124647,Sans objet,2017-09-25T00:00:00,Exploitation au-delà des tolérances de fabrication,Initialement Soumis,Trans-Northern Pipelines Inc.,"Ingleside, Ontario",Ontario,N'est pas applicable,N'est pas applicable,Exploitation,No,Non disponible,À déterminer,À déterminer
INC2017-156,50.71,-112.09,Sans objet,2017-09-25T00:00:00,Exploitation au-delà des tolérances de fabrication,Fermé,NOVA Gas Transmission Ltd.,"Rosemary, AB",Alberta,N'est pas applicable,N'est pas applicable,Exploitation,Yes,"Compression,Pipeline",Erreur d’exploitation,Outils et équipement
INC2017-155,55.79811041,-122.18163686,10.0000,2017-09-24T00:00:00,Déversement de substance,Soumis,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Chetwynd,Colombie-Britannique,Fluide de forage,Divers,Construction,No,Non disponible,Défectuosité et détérioration,Entretien
INC2017-154,54.28836951,-122.61663727,125.4000,2017-09-24T00:00:00,Déversement de substance,Soumis,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Prince George,Colombie-Britannique,Gaz Naturel - non sulfureux,Gaz,Exploitation,Yes,Compression,Défaillance d’équipement,"Ingénierie et planification,Entretien"
INC2017-153,51.867982,-109.033349,0.0020,2017-09-22T00:00:00,Déversement de substance,Fermé,Enbridge Pipelines Inc.,Kerrobert,Saskatchewan,Liquides de gaz naturel,Gaz,Exploitation,Yes,Pipeline,Erreur d’exploitation,Facteurs humains
INC2017-151,43.506022,-79.615112,Sans objet,2017-09-22T00:00:00,Exploitation au-delà des tolérances de fabrication,Initialement Soumis,Trans-Northern Pipelines Inc.,Clarkson,Ontario,N'est pas applicable,N'est pas applicable,Exploitation,No,Non disponible,À déterminer,À déterminer
INC2017-150,45.62532117,-73.53774278,Sans objet,2017-09-22T00:00:00,Exploitation au-delà des tolérances de fabrication,Initialement Soumis,Trans-Northern Pipelines Inc.,Montreal East,Québec,N'est pas applicable,N'est pas applicable,Exploitation,No,Non disponible,À déterminer,À déterminer
INC2017-149,45.62532117,-73.53774278,Sans objet,2017-09-22T00:00:00,Exploitation au-delà des tolérances de fabrication,Initialement Soumis,Trans-Northern Pipelines Inc.,Montreal East,Québec,N'est pas applicable,N'est pas applicable,Exploitation,No,Non disponible,À déterminer,À déterminer
INC2017-148,44.217868,-77.197155,Sans objet,2017-09-21T00:00:00,Exploitation au-delà des tolérances de fabrication,Initialement Soumis,Trans-Northern Pipelines Inc.,Milltown,Ontario,N'est pas applicable,N'est pas applicable,Exploitation,No,Non disponible,À déterminer,À déterminer
INC2017-147,56.14630285,-120.66916931,Sans objet,2017-09-19T00:00:00,Exploitation au-delà des tolérances de fabrication,Fermé,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Taylor,Colombie-Britannique,N'est pas applicable,N'est pas applicable,Exploitation,Yes,Pipeline,Interférences extérieures,Normes et procédures
INC2017-146,51.550986,-121.269628,Sans objet,2017-09-19T00:00:00,Blessure grave (Office ou BST),Fermé,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",100 Mile House,Colombie-Britannique,N'est pas applicable,N'est pas applicable,Construction,No,Non disponible,Erreur d’exploitation,Facteurs humains
INC2017-145,55.956023,-120.672487,Sans objet,2017-09-16T00:00:00,Incendie,Fermé,NOVA Gas Transmission Ltd.,"Dawson Creek, British Columbia",Colombie-Britannique,N'est pas applicable,N'est pas applicable,Construction,No,Non disponible,"Interférences extérieures,Erreur d’exploitation,Autres causes",Outils et équipement
INC2017-144,43.865025,-79.378924,Sans objet,2017-09-12T00:00:00,Exploitation au-delà des tolérances de fabrication,Fermé,Trans-Northern Pipelines Inc.,Multiple locations in Ontario,Ontario,N'est pas applicable,N'est pas applicable,Exploitation,Yes,Pipeline,"Interférences extérieures,Erreur d’exploitation",Problème de communication
INC2017-143,43.394589,-79.744588,Sans objet,2017-09-12T00:00:00,Exploitation au-delà des tolérances de fabrication,Fermé,Trans-Northern Pipelines Inc.,"Oakville, Ontario",Ontario,N'est pas applicable,N'est pas applicable,Exploitation,Yes,Pipeline,Interférences extérieures,Outils et équipement
INC2017-142,50.23066354,-101.67623503,Sans objet,2017-09-12T00:00:00,Incendie,Fermé,TransCanada PipeLines Limited,"Moosomin, Saskatchewan ",Saskatchewan,N'est pas applicable,N'est pas applicable,Construction,No,Non disponible,"Interférences extérieures,Erreur d’exploitation","Entretien,Outils et équipement"
INC2017-141,43.94553832,-78.66202139,Sans objet,2017-09-12T00:00:00,Exploitation au-delà des tolérances de fabrication,Fermé,Trans-Northern Pipelines Inc.,"Bowmanville, Ontario",Ontario,N'est pas applicable,N'est pas applicable,Exploitation,Yes,Pipeline,"Interférences extérieures,Erreur d’exploitation",Ingénierie et planification
INC2017-140,44.9970876,-75.0124647,Sans objet,2017-09-12T00:00:00,Exploitation au-delà des tolérances de fabrication,Fermé,Trans-Northern Pipelines Inc.,"Ingleside, Ontario",Ontario,N'est pas applicable,N'est pas applicable,Exploitation,Yes,Pipeline,"Interférences extérieures,Erreur d’exploitation","Ingénierie et planification,Facteurs humains"
INC2017-139,43.76842553,-79.48533571,Sans objet,2017-09-12T00:00:00,Exploitation au-delà des tolérances de fabrication,Fermé,Trans-Northern Pipelines Inc.,Hamilton and Toronto,Ontario,N'est pas applicable,N'est pas applicable,Exploitation,Yes,Pipeline,Erreur d’exploitation,Ingénierie et planification
INC2017-138,43.76842553,-79.48533571,Sans objet,2017-09-12T00:00:00,Exploitation au-delà des tolérances de fabrication,Fermé,Trans-Northern Pipelines Inc.,Toronto,Ontario,N'est pas applicable,N'est pas applicable,Exploitation,Yes,Pipeline,"Interférences extérieures,Erreur d’exploitation",Ingénierie et planification
INC2017-137,56.22,-122.08,350347.0000,2017-09-11T00:00:00,Déversement de substance,Soumis,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Hudson's Hope BC,Colombie-Britannique,Gaz Naturel - non sulfureux,Gaz,Exploitation,Yes,Compression,"Interférences extérieures,Erreur d’exploitation","Facteurs humains,Entretien,Normes et procédures"
INC2017-136,50.48066052,-105.86703804,Sans objet,2017-09-09T00:00:00,Incendie,Fermé,TransCanada PipeLines Limited,"Rapid City,  MB",Manitoba,N'est pas applicable,N'est pas applicable,Construction,No,Non disponible,Interférences extérieures,Outils et équipement
INC2017-135,45.630971,-73.531765,Sans objet,2017-09-07T00:00:00,Exploitation au-delà des tolérances de fabrication,Fermé,Trans-Northern Pipelines Inc.,Montreal East,Québec,N'est pas applicable,N'est pas applicable,Exploitation,Yes,Pipeline,Interférences extérieures,"Ingénierie et planification,Facteurs humains"
INC2017-134,45.451382,-74.059042,Sans objet,2017-09-07T00:00:00,Exploitation au-delà des tolérances de fabrication,Initialement Soumis,Trans-Northern Pipelines Inc.,Hudson,Québec,N'est pas applicable,N'est pas applicable,Exploitation,No,Non disponible,À déterminer,À déterminer
INC2017-133,45.62254,-73.6561,Sans objet,2017-09-07T00:00:00,Exploitation au-delà des tolérances de fabrication,Soumis,Trans-Northern Pipelines Inc.,Laval,Québec,N'est pas applicable,N'est pas applicable,Exploitation,Yes,Pipeline,Forces de la nature,"Ingénierie et planification,Entretien,Forces de la nature ou environnement"
INC2017-132,56.73,-121.81,Sans objet,2017-09-05T00:00:00,Exploitation au-delà des tolérances de fabrication,Fermé,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Wonowan,Colombie-Britannique,N'est pas applicable,N'est pas applicable,Entretien,Yes,Régulation de la pression,Erreur d’exploitation,Problème de communication
INC2017-131,56.727,-122.273,Sans objet,2017-09-03T00:00:00,Blessure grave (Office ou BST),Fermé,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Pink Mountain,Colombie-Britannique,N'est pas applicable,N'est pas applicable,Construction,No,Non disponible,Erreur d’exploitation,"Facteurs humains,Approvisionnement inadéquat,Supervision insuffisante,Outils et équipement"
INC2017-130,50.23066354,-101.67623503,Sans objet,2017-09-01T00:00:00,Incendie,Fermé,TransCanada PipeLines Limited,"Moosomin, SK",Saskatchewan,N'est pas applicable,N'est pas applicable,Construction,No,Non disponible,"Interférences extérieures,Erreur d’exploitation",Facteurs humains
INC2017-129,45.630971,-73.531765,Sans objet,2017-08-31T00:00:00,Exploitation au-delà des tolérances de fabrication,Fermé,Trans-Northern Pipelines Inc.,Montreal East,Québec,N'est pas applicable,N'est pas applicable,Exploitation,No,Non disponible,Interférences extérieures,"Ingénierie et planification,Problème de communication,Facteurs humains"
INC2017-128,45.630971,-73.531765,Sans objet,2017-08-31T00:00:00,Exploitation au-delà des tolérances de fabrication,Fermé,Trans-Northern Pipelines Inc.,Montreal East,Québec,N'est pas applicable,N'est pas applicable,Exploitation,No,Non disponible,Interférences extérieures,"Ingénierie et planification,Problème de communication,Facteurs humains"
INC2017-127,45.630971,-73.531765,Sans objet,2017-08-31T00:00:00,Exploitation au-delà des tolérances de fabrication,Fermé,Trans-Northern Pipelines Inc.,Montreal East,Québec,N'est pas applicable,N'est pas applicable,Exploitation,No,Non disponible,Interférences extérieures,"Ingénierie et planification,Problème de communication,Facteurs humains"
INC2017-126,45.630971,-73.531765,Sans objet,2017-08-31T00:00:00,Exploitation au-delà des tolérances de fabrication,Soumis,Trans-Northern Pipelines Inc.,Montreal East,Québec,N'est pas applicable,N'est pas applicable,Exploitation,No,Non disponible,Interférences extérieures,Ingénierie et planification
INC2017-125,45.630971,-73.531765,Sans objet,2017-08-31T00:00:00,Exploitation au-delà des tolérances de fabrication,Soumis,Trans-Northern Pipelines Inc.,Montreal East,Québec,N'est pas applicable,N'est pas applicable,Exploitation,No,Non disponible,Interférences extérieures,Ingénierie et planification
INC2017-124,45.630971,-73.531765,Sans objet,2017-08-31T00:00:00,Exploitation au-delà des tolérances de fabrication,Soumis,Trans-Northern Pipelines Inc.,Montreal East,Québec,N'est pas applicable,N'est pas applicable,Exploitation,No,Non disponible,Interférences extérieures,Ingénierie et planification
INC2017-123,45.630971,-73.531765,Sans objet,2017-08-31T00:00:00,Exploitation au-delà des tolérances de fabrication,Soumis,Trans-Northern Pipelines Inc.,Montreal East,Québec,N'est pas applicable,N'est pas applicable,Exploitation,Yes,Pipeline,Interférences extérieures,Ingénierie et planification
INC2017-122,45.630971,-73.531765,Sans objet,2017-08-31T00:00:00,Exploitation au-delà des tolérances de fabrication,Soumis,Trans-Northern Pipelines Inc.,Montreal East,Québec,N'est pas applicable,N'est pas applicable,Exploitation,Yes,Pipeline,Interférences extérieures,Ingénierie et planification
INC2017-121,45.630971,-73.531765,Sans objet,2017-08-31T00:00:00,Exploitation au-delà des tolérances de fabrication,Soumis,Trans-Northern Pipelines Inc.,Montreal East,Québec,N'est pas applicable,N'est pas applicable,Exploitation,Yes,Pipeline,Interférences extérieures,Ingénierie et planification
INC2017-120,45.630971,-73.531765,Sans objet,2017-08-31T00:00:00,Exploitation au-delà des tolérances de fabrication,Soumis,Trans-Northern Pipelines Inc.,Montreal East,Québec,N'est pas applicable,N'est pas applicable,Exploitation,Yes,Pipeline,Interférences extérieures,Ingénierie et planification
INC2017-117,56.1695,-120.6575,Sans objet,2017-08-16T00:00:00,Incendie,Fermé,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Taylor,Colombie-Britannique,N'est pas applicable,N'est pas applicable,Construction,No,Non disponible,Interférences extérieures,Forces de la nature ou environnement
INC2017-116,55.749071,-122.2058,Sans objet,2017-08-15T00:00:00,Blessure grave (Office ou BST),Fermé,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Chetwynd,Colombie-Britannique,N'est pas applicable,N'est pas applicable,Construction,No,Non disponible,Erreur d’exploitation,"Facteurs humains,Supervision insuffisante"
INC2017-115,50.71329,-112.09327,1.0000,2017-08-11T00:00:00,Déversement de substance,Initialement Soumis,NOVA Gas Transmission Ltd.,"Rosemary, AB",Alberta,Gaz Naturel - non sulfureux,Gaz,Exploitation,No,Non disponible,À déterminer,À déterminer
INC2017-114,54.057238,-113.219046,1.0000,2017-08-10T00:00:00,Déversement de substance,Initialement Soumis,NOVA Gas Transmission Ltd.,Redwater,Alberta,Gaz Naturel - non sulfureux,Gaz,Exploitation,No,Non disponible,À déterminer,À déterminer
INC2017-111,45.235319,-75.534506,Sans objet,2017-07-31T00:00:00,Exploitation au-delà des tolérances de fabrication,Soumis,Trans-Northern Pipelines Inc.,"Ficko, Ontario",Ontario,N'est pas applicable,N'est pas applicable,Exploitation,Yes,Pipeline,Forces de la nature,"Ingénierie et planification,Entretien"
INC2017-110,50.62028,-105.24194,0.0010,2017-07-27T00:00:00,Déversement de substance,Fermé,Enbridge Pipelines Inc.,Town of Bethune,Saskatchewan,Liquides de gaz naturel,Gaz,Exploitation,Yes,Pompage,Interférences extérieures,Entretien
INC2017-105,56.14630285,-120.66916931,11.0000,2017-07-25T00:00:00,Déversement de substance,Fermé,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission","Taylor, BC",Colombie-Britannique,Butane,Gaz,Exploitation,Yes,Usine de traitement,Interférences extérieures,Ingénierie et planification
INC2017-104,48.598185,-88.807598,Sans objet,2017-07-21T00:00:00,Incendie,Fermé,TransCanada PipeLines Limited,"Dorion, Ontario",Ontario,N'est pas applicable,N'est pas applicable,Entretien,No,Non disponible,Interférences extérieures,Entretien
INC2017-103,50.07617,-99.9867,58.7000,2017-07-20T00:00:00,Déversement de substance,Fermé,TransCanada PipeLines Limited,"Rapid City, Manitoba",Manitoba,Gaz Naturel - non sulfureux,Gaz,Exploitation,Yes,Compression,Corrosion et fissuration,Entretien
INC2017-102,53.544231,-113.349269,12.8000,2017-07-18T00:00:00,Déversement de substance,Fermé,Enbridge Pipelines Inc.,"Sherwood Park, AB",Alberta,Pétrole brut synthétique,Liquide,Exploitation,Yes,Pipeline,Corrosion et fissuration,Ingénierie et planification
INC2017-101,56.14630285,-120.66916931,300.0000,2017-07-14T00:00:00,Déversement de substance,Fermé,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Taylor,Colombie-Britannique,Gaz naturel - sulfureux,Gaz,Exploitation,Yes,Usine de traitement,Défaillance d’équipement,"Ingénierie et planification,Problème de communication,Approvisionnement inadéquat"
INC2017-100,50.697092,-111.489744,Sans objet,2017-07-14T00:00:00,Incendie,Fermé,NOVA Gas Transmission Ltd.,"Patricia, AB",Alberta,N'est pas applicable,N'est pas applicable,Exploitation,No,Non disponible,Interférences extérieures,Forces de la nature ou environnement
INC2017-099,44.554447,-75.798016,Sans objet,2017-07-12T00:00:00,Exploitation au-delà des tolérances de fabrication,Soumis,Trans-Northern Pipelines Inc.,Brockville,Ontario,N'est pas applicable,N'est pas applicable,Exploitation,No,Non disponible,Forces de la nature,"Ingénierie et planification,Entretien"
INC2017-098,44.236964,-76.84911,Sans objet,2017-07-12T00:00:00,Exploitation au-delà des tolérances de fabrication,Soumis,Trans-Northern Pipelines Inc.,Napanee,Ontario,N'est pas applicable,N'est pas applicable,Exploitation,No,Non disponible,Forces de la nature,"Ingénierie et planification,Entretien"
INC2017-097,49.30721239,-114.01499449,Sans objet,2017-07-12T00:00:00,Exploitation au-delà des tolérances de fabrication,Fermé,NOVA Gas Transmission Ltd.,"Twin Butte, AB",Alberta,N'est pas applicable,N'est pas applicable,Exploitation,Yes,Compression,Autres causes,Outils et équipement
INC2017-096,44.371,-76.203,Sans objet,2017-07-11T00:00:00,Exploitation au-delà des tolérances de fabrication,Initialement Soumis,Trans-Northern Pipelines Inc.,Gananoque,Ontario,N'est pas applicable,N'est pas applicable,Exploitation,No,Non disponible,Forces de la nature,"Ingénierie et planification,Entretien"
INC2017-095,55.89250404,-119.79138263,Sans objet,2017-07-10T00:00:00,Exploitation au-delà des tolérances de fabrication,Fermé,NOVA Gas Transmission Ltd.,"Bonanza, Alberta",Alberta,N'est pas applicable,N'est pas applicable,Exploitation,No,Non disponible,Interférences extérieures,Ingénierie et planification
INC2017-094,51.4,-111.79,Sans objet,2017-07-10T00:00:00,Exploitation au-delà des tolérances de fabrication,Initialement Soumis,NOVA Gas Transmission Ltd.,"Hanna, Alberta",Alberta,N'est pas applicable,N'est pas applicable,Exploitation,No,Non disponible,À déterminer,À déterminer
INC2017-093,49.32403226,-102.29636323,1.0000,2017-07-06T00:00:00,Déversement de substance,Fermé,Alliance Pipeline Ltd.,"Morinville, Alberta",Alberta,Gaz Naturel - non sulfureux,Gaz,Exploitation,Yes,Compression,Défaillance d’équipement,Entretien
